reviewid	title	body	shortdescription
10056	No IDE DVD, No floppy DD, No XP sp1, No overspeed memory	When I installed MB and tried to connect IDE DVD and floppy DD, I found that there is no connector for either one. I should have studied MB more but I purchased it because Extreme edition and the price is not so expensive and its brand name. I bought USB floppy and SATA DVD and tried to install XP sp1 but it failed because of PCIE-2 video card. So, I installed XP sp3 and success. Next, I tried to install 1333 DDR Ram and configured with this speed but BIOS doesn't let me set manually, automatically go back to 1066 MHz that is CPU bus frequency. Also, I found that there is a yellow unknown device in device manager. This device is for Vista winbound transceiver. It took so many hours to search the solutions for problem after problem. Finally, I figured out. Next time, I will buy DELL computer.	With resource intensive games and multimedia tools constantly evolving to the next technological level, you need equally advanced hardware to ensure the best possible computing experience. Hardcore gamers and multimedia enthusiasts can take solace in the fact that next-generation BrandXYZ? Extreme Series Desktop Boards combine with the latest BrandXYZ processors to run the most demanding software applications with ease. Amazon.com Product DescriptionWith resource intensive games and multimedia t...
11702	Best Blu-ray for the $$$!	I purchased this BD player from WalMart when it was $299.00. It was well worth the price! The load times really surprised me. I haven't waited more then 30 seconds. Experience the superior picture quality of Blu-ray movies in full 1080p high-definition on your HDTV. DVDs will also look their best thanks to 1080p upconversion on compatible HDTVs that have an HDMI port. The NB500MG9 can play CDs and JPEG photos that have been burned onto CD-Rs, too. Additional highlights include component video output and a digital coaxial output for connecting compatible surround sound systems. You sure can't go wrong for the $$$!	Experience the superior picture quality of Blu-ray movies in full 1080p high-definition on your HDTV with this BrandXYZ NB500MG9 Blu-ray Disc DVD Player! DVDs will also look their best thanks to 1080p upconversion on compatible HDTVs that have an HDMI port. The BrandXYZ NB500MG9 can play BD-Video, BD-RE and BD-R, CDs and JPEG photos. The convenient SD card slot on the NB500MG9 allows easy viewing of hi-def videos and photos on your HDTV. Additional highlights include component video output and a...
10059	Fantastic!	Bought this at your local Big Box recently that is going out of business (CC). Works very well. Setup is a breeze. Although the manual and all reviews tell you that HDMI does not do audio, it does. However, you cannot hear the audio through the Denon unless you use another connection (RCA analog or SPDIF digital). The Denon will pass-through any audio being output by your device via HDMI, but it cannot output it to your speakers. I'm running HDMI and SPDIF Coax out of the Cable Box and I can hear the sound through the TV (connected to Denon by HDMI only) as well as through the Denon. If I unplug the SPDIF, I can only hear through the TV. The same is true for my DVD player - HDMI and SDPIF Coax out to the Denon. Denon works if Coax is connected, TV works either way. This is useful as now I can listen to the TV without turning up the volume on the Denon - useful in the AM and late nite when I'm being quiet for the wife! BTW, I had the "Direct" option turned ON. As far as Audiophile audio quality, I'm not so sure. It would be nice to have the Burr Brown DACs of the "better" models, but since I'm using this mostly for TV/DVD/iPod, I can't complain. It sounds great with the TV and DVDs but I have yet to really sit down and blast it out with CDs or FLACs via my Squeezebox... Maybe this weekend... That being said, this is a 5 for 5 product. Props to Denon for doing us right once again!	BrandXYZ?s AVR-589 surround sound receiver features the latest high definition video connectivity, including dual HDMI v1.3a inputs and an HDMI output that provides up to 1080p resolution pass-through. The AVR-589 features a precision 32-bit floating point DSP processor for optimum surround sound fidelity, a technology normally only found on much more expensive components. Each of the five equal power amplifier channels features 75 Watts of output, able to drive the widest variety of home theate...
10060	Works fine.	The Denon AVR-589 even though it was a scratch and dent, I can't see any scratches or marks on the unit. You have to run audio through a separate set of cables and not through the HDMI, but it seems to work fine. Audyssey balances out the 5.1 speakers.	BrandXYZ?s AVR-589 surround sound receiver features the latest high definition video connectivity, including dual HDMI v1.3a inputs and an HDMI output that provides up to 1080p resolution pass-through. The AVR-589 features a precision 32-bit floating point DSP processor for optimum surround sound fidelity, a technology normally only found on much more expensive components. Each of the five equal power amplifier channels features 75 Watts of output, able to drive the widest variety of home theate...
10065	Awesome backpack/sling bag!	Since the 5DMK2 won't fit in my Canon Zoom Pack 1000, I decided to upgrade to a full backpack with a quick-draw setup. I didn't want a full time sling bag (ie slingshot 300) with so much weight on one shoulder, but I needed the quick draw setup that most sling bags have. The Kata 3N1-30 can switch from a full backpack to left or right sling bag with padded waist support! Perfect! I must admit the 3N1-30 is bigger than I expected from the photos. But it is well padded and the yellow lining helps a lot in search for your gear. The downside I see is the padding in the shoulder straps looks and feels like it will thin out from a year of use. Plus I don't think it will fit my Toshiba 12inch laptop (haven't tried it yet). For the price ($109), I'm glad I got this over the lowepro slingshot 300.	Why choose between a backpack and a sling when you simply can pick up one of the new BrandXYZ 3N1 bags and get the best features of each type of bag? These unique bags provide ultimate freedom designed with three carrying options in one bag: right-handed sling, left-handed sling and backpack. Quick access to a camera has never been faster with a sling that offers a quick release and one-handed bag opening for camera access. Left-handed photographers can celebrate as they discover the first photo...
11918	Good Laptop, I just wish it was more reliable	I received this product as part of the Dell warranty program when another computer failed. I've had the 1535 for three weeks and the panel with the capacitive media buttons has already failed. I like almost everything about this laptop except for the media buttons failing so early (a quick Google search shows that this is a common issue for the 1535). I'll give Dell a call back in a day or so and see what they can do for me. Pros:relatively stylish and slim, especially so for a Dell, excellent WiFi range, has a webcam and multiple recording inputs / headphone jacks, great graphics card, better-than-average battery life Cons: reliability, the media touch sensors are hard to find in the dark, case attracts fingerprints, webcam quality is so-so, sleep mode does not work well for Kubuntu.	BrandXYZ STUDIO 15 NOTEBOOK- Graphite Grey with Black Trim Glossy, widescreen 15.4 inch display , Intel? CoreTM 2 Duo T5750 2.00GHz, Intel Graphics Media Accelerator X3100 , 2 GB DDR2, 160 GB SATA HD, CD / DVD Burner, Wireless-G Card , Integrated 2.0M Pixel Webcam, Integrated Finger Print Reader, Microsoft Works, Windows Vista? Home Premium
11680	Works well, packaging terrible	When I got my drive, all of the cables were unnecessarily taped to the inside of the box with this really nasty tape. The tape left all sorts of nasty sticky tape residue after it was removed. After some really hard scrubbing and multiple cleaning products, it just won't come off. So now I'm left with a sticky power adapter and cables. Otherwise, the drive looks nice and it pretty fast as long as you purchase a firewire 800 cable for it. It only comes with USB 2.0 and FireWire 400 cables, and they're kind of short. Even though I don't have an eSata port on my computer, it's nice that it also comes with that feature if I ever decide to use it. Sometimes I have issues getting it to mount on my computer, and I'm not sure if it's my cable or the actual firewire 800 port on the drive or my computer. It seems to always mount fine using firewire 400. Overall a very good hard drive, at a very cheap price.	BrandXYZ Pro Drive? ? Works Like a Pro. Plug n? Play Simple. High performance storage and backup up to 3X the speed of USB 2.0. With four built-in ways to connect (USB 2.0, FireWire 400, FireWire 800, and 3Gb/sec eSATA) and award-winning backup software included, Pro Drive is a smart investment that delivers everything you need to succeed. High performance desktop hard drive for professionals and prosumers QUAD interface for plug n? play flexibility: USB 2.0 Turbo, FW400, FW800, 3Gbps eSATA Bran...
11681	SimpleTech Pro750Q	The USB interface to my computer running Microsoft Windows XP Pro, SR2 worked well. However, the FireWire 400 interface has not. While I believe the problem is a Windows configuration issue, very little support in troubleshooting it could be found either in the drive documentation or on the product website. In fact, neither the Fast Start instructions nor the more detailed product guide had information to ensure proper Firewire connections. Nevertheless, other than being a bit slow, the drive works very well with the USB connection.	BrandXYZ Pro Drive? ? Works Like a Pro. Plug n? Play Simple. High performance storage and backup up to 3X the speed of USB 2.0. With four built-in ways to connect (USB 2.0, FireWire 400, FireWire 800, and 3Gb/sec eSATA) and award-winning backup software included, Pro Drive is a smart investment that delivers everything you need to succeed. High performance desktop hard drive for professionals and prosumers QUAD interface for plug n? play flexibility: USB 2.0 Turbo, FW400, FW800, 3Gbps eSATA Bran...
11731	Excellent GPS for Truckers	I got this unit to drive my semi. Routing is excellent around Chicago and Indianapolis. I have this GPS for several month now. I love big screen. I used to play with Garmin and I could not see much. I do not use this GPS for movies or for reading books. I think my DVD player in the truck probably better. For routing I would strongly recommend. Big screen for a person of my age is must. I have now couple of friends that purchased the unit from Pilot and are very happy.	7-Inch Worldnav truck GPS with truck-routing GPS for professional truck drivers, bus drivers and RV'ers.
11732	garbage	im a commercial truck driver that delivers hazardous materials. I bought this product thinking it would help, but became a total nightmare. The minute I received the gps the sd card was corrupted so they needed to send me a new one. The device is extremely slow and is not accurate at all. I would not recommend this product to anyone else especially truck drivers. I return it in 3 weeks	7-Inch Worldnav truck GPS with truck-routing GPS for professional truck drivers, bus drivers and RV'ers.
11733	Good for nothing......	Any trucker that used this would toss this out the window so fast. Very unreliable. Very primitive graphics, truck routing is pretty much a gimmick. Any road that is not assigned a number designation is considered a restricted route. This is unreal and criminal if you ask me. They are selling technology from 2001 at top top dollar and the bottom line is, it don't even come close to doing what it promises it will. Please folks take my advice and do not waste your money on this. It is absolute junk. Any review that says other wise is written by a rep from this company. Call them and talk to them, they talk like a bunch of lawyers, it is rediculous.	7-Inch Worldnav truck GPS with truck-routing GPS for professional truck drivers, bus drivers and RV'ers.
11682	Great Drive for the Price!	I've had this drive for a couple weeks. It works great. The quad interface is really handy, now I use firewire 400, which is really fast. In the future I plan to use eSATA, having the choice is great. Extremely quiet, cool when not in use, it gets hot when spinning but not overly hot. If I ever need some more space, I will definitely buy a SimpleTech PRO Quad.	BrandXYZ Pro Drive? ? Works Like a Pro. Plug n? Play Simple. High performance storage and backup up to 3X the speed of USB 2.0. With four built-in ways to connect (USB 2.0, FireWire 400, FireWire 800, and 3Gb/sec eSATA) and award-winning backup software included, Pro Drive is a smart investment that delivers everything you need to succeed. High performance desktop hard drive for professionals and prosumers QUAD interface for plug n? play flexibility: USB 2.0 Turbo, FW400, FW800, 3Gbps eSATA Bran...
11683	Doesn't work with Scientific Atlanta 8300HD DVR	Bought for my Scienticif Atlanta 8300HD DVR, but two different DVRs will not connect; both report device not communicating propoerly. Oh well... Will have to return. Note: I rated three, trying to minimize my affect on the average. I have no idea if good or not, just won't work for my situation.	BrandXYZ Pro Drive? ? Works Like a Pro. Plug n? Play Simple. High performance storage and backup up to 3X the speed of USB 2.0. With four built-in ways to connect (USB 2.0, FireWire 400, FireWire 800, and 3Gb/sec eSATA) and award-winning backup software included, Pro Drive is a smart investment that delivers everything you need to succeed. High performance desktop hard drive for professionals and prosumers QUAD interface for plug n? play flexibility: USB 2.0 Turbo, FW400, FW800, 3Gbps eSATA Bran...
11684	Not As A DVR Extender	Beautifully made, quiet, with all the output ports. But it won't work as a DVR storage extender with the Scientific Atlanta 8300 DVR which is what I bought it for.	BrandXYZ Pro Drive? ? Works Like a Pro. Plug n? Play Simple. High performance storage and backup up to 3X the speed of USB 2.0. With four built-in ways to connect (USB 2.0, FireWire 400, FireWire 800, and 3Gb/sec eSATA) and award-winning backup software included, Pro Drive is a smart investment that delivers everything you need to succeed. High performance desktop hard drive for professionals and prosumers QUAD interface for plug n? play flexibility: USB 2.0 Turbo, FW400, FW800, 3Gbps eSATA Bran...
11686	Great ipod dock, could use an improvement or two...	This is a great product but it does have a minor issue or two that could use improvement. First: The Brightness setting. The brightness setting resets itself to bright each time I dock or undock the iPod. Not a big deal but it means that every night I have to set it back to the dim mode. Second: Does not support the iPhone 3G... well actually it does. It just causes the iPhone 3G to display the "not designed for iPhone" message and prompts you to turn off the radio features of the iPhone. This is not necessary as it works fine with no interference to the clock radio. Third: The Remote is required. If you lose the remote it is very difficult to change the settings on the clock radio as the buttons on very non-intuitive. I have not lost the remote yet, but can see it happening at sometime in the future... in a move maybe. Fourth: a USB port to be able to use the clock to sync the iPod to your computer while it is docked in the clock. Not really a big deal as this is probably a bedside clock and syncing there doesn't make much sense. That said, it has many great features as well. Sleep mode where it will turn off the music after 15, 30, 45, or 60 minutes. This is a feature the iPod should have all by itself, but it does not. [UPDATE: The iPhone does have this feature, just not intuitively. Go to clock, select timer on the bottom, enter time until event, choose "Sleep ipod". Still very nice to have on the clock as it is much much easier to do with one click of the remote.] Aux input which lets you use any music source and not just an iPod. Two alarm settings, each of which can choose it's own audio source. ipod, radio, beep, or aux input. Giant display, great for those of us who are blind without our glasses. Great design, looks good, and fits into my decor. Overall, a good product, would have gotten 5 stars if they had fixed the brightness issue.	Large format time display and speaker system for your iPod
11687	Great Clock, bad buttons	I've been using this product for well over a couple of months now and will tell you this is a huge display clock. I love the display and the charge dock on it. You will never sleep through the alarm it has. The Cons of this product is the buttons on top of the clock. If you don't have the remote in your hands then it gets slightly irritating to fiddle with the buttons on top because it behaves weirdly and making it go into snooze is quite difficult. Otherwise it's a great product and I recommend it for all heavy sleepers like me.	Large format time display and speaker system for your iPod
11688	Cygnett Horrible Item	This is a piece of junk to put it plain and simple. Quality is lacking, has stopped functioning after 8 months of use. Time keeping is not a strong point. Goes crazy, advancing up to 2 hours on the time. Sound quality is to say the least lacking. Horrible controls, unclear third world instructions. Would not Recommend to anyone for purchase.	Large format time display and speaker system for your iPod
11689	good sound andlook but cheap plastic	ok guys the rados dosn't work it's ok bca i don't use it to listen to radio but after 5 days the remote control stopped working i checked the company web site and did what they says change the battery and check the hold botten in ur i pod and see but still not working .	Large format time display and speaker system for your iPod
11693	Highest quality Blu Ray picture of our three Blu Ray players	We have a Sylvania Blu Ray player which has an excellent picture and a Samsung model 1500 which has a very good picture. Our fairly new Magnavox Blu Ray player which we purchased at Walmart has an outstanding picture and plays old scratched DVD's well even old 480 digital format DVD's. The Magnavox is the top rated model at Consumer Reports currently although the Sylvania Blu Ray player used to be the top pic at Consumer Reports previously, but I think the Sylvania Blu Ray player model has been discontinued. There is no S video connection on the Magnavox, but with HDMI there is really no need for a S video connection	Experience the superior picture quality of Blu-ray movies in full 1080p high-definition on your HDTV with this BrandXYZ NB500MG9 Blu-ray Disc DVD Player! DVDs will also look their best thanks to 1080p upconversion on compatible HDTVs that have an HDMI port. The BrandXYZ NB500MG9 can play BD-Video, BD-RE and BD-R, CDs and JPEG photos. The convenient SD card slot on the NB500MG9 allows easy viewing of hi-def videos and photos on your HDTV. Additional highlights include component video output and a...
11694	AVOID Magnavox and Funai	We purchased this item for about $130 on a black friday sale in Nov. 28, 2008. It worked great until 8:15 P.M. on March 29, 2009. It stopped playing Blu-Rays. After e-mailing Funai, I received a reply with a customer service number. I called that number and they referred me to a local repair center. I was advised by this authorized repair center I would have to pay a MINIMUM of $45, just to have them look at. (REALLY! $45 on something that isn't 4 months old. What about the 1 year manufacturer's warranty? I am aware that I could have purchased an extended warranty from Wal-Mart, but most financial experts say they are unecessary upcharges designed to make more money for the stores. These experts say if you feel that you need the extended warranty, just put that money toward a better product. (I sure wish we did). That $130 could have gone towards a Sony that we will now buy. Based on the "durability" on a Magnavox product and the "great" customer service provided by Funai, I will avoid these products in the future. And I would advise others to do the same.	Experience the superior picture quality of Blu-ray movies in full 1080p high-definition on your HDTV with this BrandXYZ NB500MG9 Blu-ray Disc DVD Player! DVDs will also look their best thanks to 1080p upconversion on compatible HDTVs that have an HDMI port. The BrandXYZ NB500MG9 can play BD-Video, BD-RE and BD-R, CDs and JPEG photos. The convenient SD card slot on the NB500MG9 allows easy viewing of hi-def videos and photos on your HDTV. Additional highlights include component video output and a...
11695	Poor Customer Service	I had this Blu Ray Player for about 4 months before it failed to play Blu Ray discs. I called support (actually Funai Corp.) and they setup a UPS pickup. That was about 6 weeks ago and my latest call to them revealed that they won't be able to tell when they can replace it until after they have had it for 2 months. The Rep told me that this is their Rapid Exchange program. Would not recommend purchasing.	Experience the superior picture quality of Blu-ray movies in full 1080p high-definition on your HDTV with this BrandXYZ NB500MG9 Blu-ray Disc DVD Player! DVDs will also look their best thanks to 1080p upconversion on compatible HDTVs that have an HDMI port. The BrandXYZ NB500MG9 can play BD-Video, BD-RE and BD-R, CDs and JPEG photos. The convenient SD card slot on the NB500MG9 allows easy viewing of hi-def videos and photos on your HDTV. Additional highlights include component video output and a...
11919	Terrible purchase - Don't Do It!	My husband purchased this laptop for me for Christmas. It's very cute, but completely non-functional if you want to use Belkin wireless to connect to the internet in your home. It is NOT compatible with Belkin routers. After hours upon hours on the phone with Dell (who claimed it was everyone else's issue), Belkin (I have two other computers using this wireless router and they work fine), Trend Micro (two other computers with no issues with Trend Micro) and even paying $100 to have a technician find out what the issue was, we realized it was the wireless card. I called Dell back (another set of countless hours repeating the ENTIRE situation over and over) to inform them of this and they ordered a brand new wireless card (same exact one as the one that didn't work with the Belkin before) and had THEIR technician replace it. He couldn't get it to work either. However, they were willing to allow me to return it for a full refund. I am buying an HP!	BrandXYZ STUDIO 15 NOTEBOOK- Graphite Grey with Black Trim Glossy, widescreen 15.4 inch display , Intel? CoreTM 2 Duo T5750 2.00GHz, Intel Graphics Media Accelerator X3100 , 2 GB DDR2, 160 GB SATA HD, CD / DVD Burner, Wireless-G Card , Integrated 2.0M Pixel Webcam, Integrated Finger Print Reader, Microsoft Works, Windows Vista? Home Premium
